rowType,subjectKey,userKey,caseKey,predictionResultKey,schoolId,schoolName,applicationYear,round,result,reviewStatus,verificationStatus,outcomeLabelStatus,feedbackSentiment,feedbackCategory,disposition,closureState,nextAction,sourceQuality,provenanceStatus,consumerPolicy
admission_case,83046f6b851d427f91ada368,cb8818132225d76df7ebfdcf,83046f6b851d427f91ada368,,cmn1htknq000cvqf2sogobdg1,Cornell University,2025,ED,DEFERRED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,ff5805233e851de9a2ff3b53,011e95e1893780cb4e1bb9ea,ff5805233e851de9a2ff3b53,,cmn1htknh0008vqf2i053h8rm,Brown University,2025,ED,REJECTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,c51e4fe5e70dfe611f098a73,011e95e1893780cb4e1bb9ea,c51e4fe5e70dfe611f098a73,,cmn1htkna0004vqf2erll9srp,Yale University,2025,RD,WAITLISTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,9f8adae5fb9ec78bd3773f86,011e95e1893780cb4e1bb9ea,9f8adae5fb9ec78bd3773f86,,cmn1htkmy0000vqf2src2zcb5,Princeton University,2025,REA,DEFERRED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,7c20b6097f31971330091c55,011e95e1893780cb4e1bb9ea,7c20b6097f31971330091c55,,cmn1htkn80003vqf29zl0f9lr,Stanford University,2025,RD,REJECTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,a08e34da728c02589b30ebdb,74bbb584d89d0815841e73ca,a08e34da728c02589b30ebdb,,cmn1htkoa000kvqf2oqm36hw5,"University of Michigan, Ann Arbor",2025,EA,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,4f10da71f22c9200975e4d3f,db67dbcaf9da34e2958d65f7,4f10da71f22c9200975e4d3f,,cmn1htkp9000yvqf29pcl812t,New York University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,88325afdd2840eb41e3f098c,778f762ff4f3be6ef4ff2e63,88325afdd2840eb41e3f098c,,cmn1htko0000gvqf2pmjc1xi9,Rice University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,17341b0dd9c7829664ed7425,50d094eb9899a46e66f3944d,17341b0dd9c7829664ed7425,,cmn1htknm000avqf2g8h3sbdp,Northwestern University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,89c8ae365b0283a823cfa1ab,bbcaf3fec61496b1e85efa8d,89c8ae365b0283a823cfa1ab,,cmn1htkoh000nvqf2uj3pjgxw,Carnegie Mellon University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,trusted_verified_case,trusted,accept,verified_user_proof_or_admin,verified,case_gallery_hall_prediction_diagnostics_allowed_with_verified_badge_no_auto_calibration
admission_case,2296b1ccb217ccaa6908a789,44e538f1bd6fb72bd7838024,2296b1ccb217ccaa6908a789,,cmn1htkny000fvqf2jlmz8ej1,"University of California, Los Angeles",2025,RD,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,f4f2eccf08a15647b85c0ee8,10b06d72e1e2608fed0f2f17,f4f2eccf08a15647b85c0ee8,,cmn1htknv000evqf29yjvrstt,"University of California, Berkeley",2025,RD,ADMITTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,261fc548546fb6db4e49882a,cb8818132225d76df7ebfdcf,261fc548546fb6db4e49882a,,cmn1htkno000bvqf209819ok4,Columbia University,2025,ED,DEFERRED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,520e5ba35fc5283993a42f7c,011e95e1893780cb4e1bb9ea,520e5ba35fc5283993a42f7c,,cmn1htkng0007vqf224oeyvgq,Duke University,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,32af38ec5036d6fc29361283,74bbb584d89d0815841e73ca,32af38ec5036d6fc29361283,,cmn1htknc0005vqf2l2az4cd2,University of Pennsylvania,2025,ED,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,bd3856d5ada94a5ce63aa160,74bbb584d89d0815841e73ca,bd3856d5ada94a5ce63aa160,,cmn1htkna0004vqf2erll9srp,Yale University,2025,REA,ADMITTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,a8a16e207208d40eeab95d53,74bbb584d89d0815841e73ca,a8a16e207208d40eeab95d53,,cmn1htkmy0000vqf2src2zcb5,Princeton University,2025,REA,ADMITTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,2d9a993c96eebb387ed7c45e,74bbb584d89d0815841e73ca,2d9a993c96eebb387ed7c45e,,cmn1htkn80003vqf29zl0f9lr,Stanford University,2025,REA,ADMITTED,AUTO_APPROVED,,,,,trusted_verified_case,trusted,accept,verified_user_proof_or_admin,verified,case_gallery_hall_prediction_diagnostics_allowed_with_verified_badge_no_auto_calibration
admission_case,015d07ce728b7a3e72b1caa3,74bbb584d89d0815841e73ca,015d07ce728b7a3e72b1caa3,,cmn1htkn60002vqf2r731l78m,Harvard University,2025,RD,REJECTED,AUTO_APPROVED,,,,,review_missing_provenance_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,314884802a37c2f18a5bafa3,74bbb584d89d0815841e73ca,314884802a37c2f18a5bafa3,,cmn1htkn30001vqf2nozenmj6,Massachusetts Institute of Technology,2025,EA,ADMITTED,AUTO_APPROVED,,,,,community_diagnostic_only,diagnostic,diagnostic-only,unknown,evidence_proxy,community_display_allowed_only_with_weak_state_no_prediction_training_or_calibration
admission_case,b25477123e1731c67a356a8a,10b06d72e1e2608fed0f2f17,b25477123e1731c67a356a8a,,cmn1htknq000cvqf2sogobdg1,Cornell University,2025,ED,DEFERRED,PENDING_REVIEW,,,,,review_pending_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
admission_case,7a5a05e72a118d94096ad45d,cb8818132225d76df7ebfdcf,7a5a05e72a118d94096ad45d,,cmn1htknh0008vqf2i053h8rm,Brown University,2025,ED,REJECTED,PENDING_REVIEW,,,,,review_pending_case,review,request-evidence,unknown,missing,admin_review_required_before_trusted_public_or_diagnostic_use
