objectType,blocker,status,action,model,table,column,migration,severity,disposition,closureState,nextAction,releaseImpact
table,missing_table,OPEN,apply-migration-or-align-db,UserNotificationPreference,user_notification_preferences,,,critical,block_release_apply_repo_migration_after_operator_approval,block_release,operator-apply-migration-or-align-db,blocks-db-backed-closure
migration,unapplied_repo_migration,OPEN,apply-migration-or-align-db,,,,20260520191100_add_user_notification_preferences,critical,block_release_apply_repo_migration_after_operator_approval,block_release,operator-apply-migration-or-align-db,blocks-db-backed-closure
migration,applied_migration_missing_from_repo,REVIEW,review-extra-db-object,,,,20260428120000_add_mbti_and_personality_tags,warning,review_unrecoverable_migration_history_external_or_baseline_required,conflict,external-artifact-or-baseline-review,blocks-db-backed-closure
migration,applied_migration_missing_from_repo,REVIEW,review-extra-db-object,,,,20260504090000_add_school_historical_data_and_nullable_deadlines,warning,review_restore_checksum_matched_migration_candidate,review,review-restore-candidate,review-only
migration,applied_migration_missing_from_repo,REVIEW,review-extra-db-object,,,,20260505120000_add_school_cds_importance_and_scorecard_snapshot,warning,review_restore_checksum_matched_migration_candidate,review,review-restore-candidate,review-only
migration,applied_migration_missing_from_repo,REVIEW,review-extra-db-object,,,,20260517040000_closure_v2_core_schema,warning,review_restore_checksum_matched_migration_candidate,review,review-restore-candidate,review-only
migration,applied_migration_missing_from_repo,REVIEW,review-extra-db-object,,,,20260517050000_closure_v2_closure_target,warning,review_restore_checksum_matched_migration_candidate,review,review-restore-candidate,review-only
table,extra_db_table,REVIEW,review-extra-db-object,,ClosureTarget,,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,apOfferings,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,classSize,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,cnHsAlternativeNames,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,cnHsCategory,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,cnHsCityTier,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,cnHsProvince,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,curriculumSystem,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,gpaConversionTable,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,hasGaokaoTrack,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,hasIntlTrack,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,ibOfferings,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,intlAdmissionList,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,ncesId,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,schoolProfileExtractedFields,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,HighSchool,schoolProfilePdfUrl,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,applicantType,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,applicationCycleYear,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,highSchoolId,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,mbti,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,personalityTags,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,recruitedCoachStatus,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,recruitedDivision,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,recruitedSport,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,Profile,stateOfResidence,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,School,cdsImportanceMatrix,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,School,ed2AcceptanceRate,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,School,hasRestrictiveEa,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,School,scorecardSnapshot,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
column,extra_db_column,REVIEW,review-extra-db-object,,School,yieldRate,,warning,review_extra_db_object_schema_drift,review,review-extra-db-object,review-only
