phase,sequence,objectType,blocker,closureState,disposition,operatorAction,releaseImpact,migration,model,table,column,restoreCandidatePath,dbChecksum,recoveredSqlSha256
04_apply_current_repo_migration_after_history_closed,4,table,missing_table,block_release,block_release_apply_repo_migration_after_operator_approval,apply-current-repo-migration-after-history-is-closed,blocks-db-backed-closure,,UserNotificationPreference,user_notification_preferences,,,,
04_apply_current_repo_migration_after_history_closed,4,migration,unapplied_repo_migration,block_release,block_release_apply_repo_migration_after_operator_approval,apply-current-repo-migration-after-history-is-closed,blocks-db-backed-closure,20260520191100_add_user_notification_preferences,,,,,,
02_external_artifact_or_baseline_review,2,migration,applied_migration_missing_from_repo,conflict,review_unrecoverable_migration_history_external_or_baseline_required,request-external-exact-sql-artifact-before-baseline-fallback,blocks-db-backed-closure,20260428120000_add_mbti_and_personality_tags,,,,,cedbe8993cf570c0011ffcc3a5769445fe55c69285939873710d73bffeaffa66,
01_review_checksum_matched_restore_candidate,1,migration,applied_migration_missing_from_repo,review,review_restore_checksum_matched_migration_candidate,review-staged-restore-candidate-before-copy-or-restore,review-only,20260504090000_add_school_historical_data_and_nullable_deadlines,,,,apps/api/scripts/closure-reports/database-migration-restore-candidate-bundle-2026-05-23T02-08-57-475Z/apps/api/prisma/migrations/20260504090000_add_school_historical_data_and_nullable_deadlines/migration.sql,da2b587c4ff1e65210a399271ae2802ac837a981a2a54ea2e3832930d5fc46cc,da2b587c4ff1e65210a399271ae2802ac837a981a2a54ea2e3832930d5fc46cc
01_review_checksum_matched_restore_candidate,1,migration,applied_migration_missing_from_repo,review,review_restore_checksum_matched_migration_candidate,review-staged-restore-candidate-before-copy-or-restore,review-only,20260505120000_add_school_cds_importance_and_scorecard_snapshot,,,,apps/api/scripts/closure-reports/database-migration-restore-candidate-bundle-2026-05-23T02-08-57-475Z/apps/api/prisma/migrations/20260505120000_add_school_cds_importance_and_scorecard_snapshot/migration.sql,3e69ee985fa0d5ecccd0fbd37c63445c1f49945e89e0b258abc0775b76fe9f1b,3e69ee985fa0d5ecccd0fbd37c63445c1f49945e89e0b258abc0775b76fe9f1b
01_review_checksum_matched_restore_candidate,1,migration,applied_migration_missing_from_repo,review,review_restore_checksum_matched_migration_candidate,review-staged-restore-candidate-before-copy-or-restore,review-only,20260517040000_closure_v2_core_schema,,,,apps/api/scripts/closure-reports/database-migration-restore-candidate-bundle-2026-05-23T02-08-57-475Z/apps/api/prisma/migrations/20260517040000_closure_v2_core_schema/migration.sql,1d49bcec5812921376a0ee0577c59148511983d5ef8b15b1d9a4cbc99f6dead9,1d49bcec5812921376a0ee0577c59148511983d5ef8b15b1d9a4cbc99f6dead9
01_review_checksum_matched_restore_candidate,1,migration,applied_migration_missing_from_repo,review,review_restore_checksum_matched_migration_candidate,review-staged-restore-candidate-before-copy-or-restore,review-only,20260517050000_closure_v2_closure_target,,,,apps/api/scripts/closure-reports/database-migration-restore-candidate-bundle-2026-05-23T02-08-57-475Z/apps/api/prisma/migrations/20260517050000_closure_v2_closure_target/migration.sql,5e37c06efa28d017bc5e0841bc70e1d3782fecf572c3317db317d8185e16cb2d,5e37c06efa28d017bc5e0841bc70e1d3782fecf572c3317db317d8185e16cb2d
03_review_extra_db_object_drift,3,table,extra_db_table,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,ClosureTarget,,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,apOfferings,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,classSize,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,cnHsAlternativeNames,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,cnHsCategory,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,cnHsCityTier,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,cnHsProvince,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,curriculumSystem,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,gpaConversionTable,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,hasGaokaoTrack,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,hasIntlTrack,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,ibOfferings,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,intlAdmissionList,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,ncesId,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,schoolProfileExtractedFields,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,HighSchool,schoolProfilePdfUrl,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,applicantType,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,applicationCycleYear,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,highSchoolId,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,mbti,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,personalityTags,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,recruitedCoachStatus,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,recruitedDivision,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,recruitedSport,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,Profile,stateOfResidence,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,School,cdsImportanceMatrix,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,School,ed2AcceptanceRate,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,School,hasRestrictiveEa,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,School,scorecardSnapshot,,,
03_review_extra_db_object_drift,3,column,extra_db_column,review,review_extra_db_object_schema_drift,review-extra-db-object-for-schema-drift,review-only,,,School,yieldRate,,,
