essayPromptId,schoolId,schoolName,year,type,status,gap,action,severity,hasSourceRow,hasConfiguredOrCandidateSources,disposition,closureState,nextAction,sourcePipelineState,consumerPolicy
cmorxbuif001beiz6umctjgot,cmnwr8iur0043z0tie8ndrb65,Amherst College,2026,ACTIVITY,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmor8g69z00hf1jbw8maj96we,cmnwr8ini000wz0ti57rv9m9o,Auburn University,2026,ACTIVITY,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorw51ve001l44lkii1s5r9b,cmnwr8iw7004vz0ti65mqjgq5,Berklee College of Music,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorwztfz001b8vvhs39hi2g0,cmnwr8iw7004vz0ti65mqjgq5,Berklee College of Music,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorxd5qz002neiz69rojmwjq,cmnwr8iuy0047z0tijtdlowua,Bowdoin College,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorx2yvg004f8vvh5lvsanrl,cmn1htknh0008vqf2i053h8rm,Brown University,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorxdrxk003leiz6os8g6y5g,cmn1htknh0008vqf2i053h8rm,Brown University,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorx20tm003n8vvhordemiln,cmn1htkne0006vqf2quzi0v6h,California Institute of Technology,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorx20tl003l8vvhbix67n0r,cmn1htkne0006vqf2quzi0v6h,California Institute of Technology,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorx20ti003j8vvhrhpbkplz,cmn1htkne0006vqf2quzi0v6h,California Institute of Technology,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmor7ztds003l1jbwr1020i1q,cmnwr8iv20049z0ti4tahvum5,Carleton College,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmor7ztdz003r1jbwcbz65tp0,cmnwr8iv20049z0ti4tahvum5,Carleton College,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmor7zte0003t1jbwt9jm53vd,cmnwr8iv20049z0ti4tahvum5,Carleton College,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmor7ztdw003p1jbwz7o7c0i4,cmnwr8iv20049z0ti4tahvum5,Carleton College,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmor7ztdn003j1jbwo2mg3i1v,cmnwr8iv20049z0ti4tahvum5,Carleton College,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorxeozs0055eiz6yj8abx2j,cmnwr8ivd004fz0tiwbcr93y2,Colgate University,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorxeozr0053eiz6ao22uros,cmnwr8ivd004fz0tiwbcr93y2,Colgate University,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmor8euh000gj1jbwdeoptx2j,cmnwr8ime000az0ti9ts1sd20,Colorado School of Mines,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
cmorxejeq004teiz6kcrpb0qa,cmn1htkno000bvqf209819ok4,Columbia University,2026,SHORT_ANSWER,VERIFIED,source.rows_missing,source-search,critical,false,true,source_search_required,source_search,source-search,source_search,do_not_show_publicly_until_official_or_common_app_source_validates
