essayPromptId,assignedSchoolName,matchedSchoolName,year,status,type,severity,closureState,disposition,matchedTerm,matchedTermSource,matchConfidence,ownSchoolMentioned,hasSourceRows,route,evidenceSnippet
"cmorxkbpm00e7eiz6vm9zedky","Pennsylvania State University","Penn State University","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","Penn State","alias","high","false","false","/admin/essay-prompts/cmorxkbpm00e7eiz6vm9zedky","...f improving society and the lives of others in the future, and what do you hope to get at penn state as a schreyer scholar to help you accomplish your goals?"
"cmorxkbpm00e7eiz6vm9zedky","Pennsylvania State University","University of Pennsylvania","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","Penn","alias","high","false","false","/admin/essay-prompts/cmorxkbpm00e7eiz6vm9zedky","...f improving society and the lives of others in the future, and what do you hope to get at penn state as a schreyer scholar to help you accomplish your goals?"
"cmorxamtt00e98vvh8fgzy7tf","Pennsylvania State University","University of Pennsylvania","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","Penn","alias","high","false","false","/admin/essay-prompts/cmorxamtt00e98vvh8fgzy7tf","how will you explore community at penn? consider how penn will help shape your perspective, and how your experiences and perspec..."
"cmorxamtt00e98vvh8fgzy7tf","Pennsylvania State University","University of Pennsylvania","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","Penn","alias","high","false","false","/admin/essay-prompts/cmorxamtt00e98vvh8fgzy7tf","how will you explore community at penn? consider how penn will help shape your perspective, and how your experiences and perspective will help shap..."
"cmorxamtt00e98vvh8fgzy7tf","Pennsylvania State University","University of Pennsylvania","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","Penn","alias","high","false","false","/admin/essay-prompts/cmorxamtt00e98vvh8fgzy7tf","...ill help shape your perspective, and how your experiences and perspective will help shape penn."
"cmorxd2u300hl8vvhwcsu5kin","Saint Louis University","Washington University in St. Louis","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","WashU","alias","high","false","false","/admin/essay-prompts/cmorxd2u300hl8vvhwcsu5kin","washu is a place that values a variety of perspectives. we believe those perspectives come from..."
"cmorxd2u300hl8vvhwcsu5kin","Saint Louis University","Washington University in St. Louis","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","WashU","alias","high","false","false","/admin/essay-prompts/cmorxd2u300hl8vvhwcsu5kin",".... respond to one of the following prompts to help us understand ""who are you?"": option a: washu supports engagement in the st. louis community by considering the university as ""in st. l..."
"cmorxd2u300hl8vvhwcsu5kin","Saint Louis University","Washington University in St. Louis","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","WashU","alias","high","false","false","/admin/essay-prompts/cmorxd2u300hl8vvhwcsu5kin","...is."" what is a community you are a part of, and your place or impact within it? option b: washu strives to know every undergraduate student ""by name & story."" how have your life experie..."
"cmorxbh8t000peiz6g7e8t5x4","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","William & Mary","name","high","false","false","/admin/essay-prompts/cmorxbh8t000peiz6g7e8t5x4","william & mary is a community that fosters deep human connection. we reflect on the lessons of history t..."
"cmor7vnzd000f1jbwr05a38yt","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","William & Mary","name","high","false","false","/admin/essay-prompts/cmor7vnzd000f1jbwr05a38yt","william & mary is a community that fosters deep human connection. we reflect on the lessons of history t..."
"cmorwzr2100138vvhfyzhl3ew","Williams College","William & Mary","2026","VERIFIED","SHORT_ANSWER","critical","conflict","conflict_foreign_school_mention_on_source_less_verified_prompt","William & Mary","name","high","false","false","/admin/essay-prompts/cmorwzr2100138vvhfyzhl3ew","william & mary is a community that fosters deep human connection. we reflect on the lessons of history t..."
"cmorw4utc001f44lkot1qkieg","Cooper Union","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","true","false","/admin/essay-prompts/cmorw4utc001f44lkot1qkieg","what drives your interest in pursuing your chosen major (e.g., chemical engineering, civil engineering, electrical engineering, mechanical engineering, or computer science)?..."
"cmorw4utc001f44lkot1qkieg","Cooper Union","Olin College of Engineering","2026","VERIFIED","SHORT_ANSWER","critical","review","review_foreign_school_mention","engineering","derived","medium","true","false","/admin/essay-prompts/cmorw4utc001f44lkot1qkieg","...hat drives your interest in pursuing your chosen major (e.g., chemical engineering, civil engineering, electrical engineering, mechanical engineering, or computer science)? how do you envisio..."
