queueId,queueType,queueState,releaseRiskScore,schoolId,schoolName,essayPromptId,applicationYear,severity,route,sourceUrl,sourceQuality,confidence,recommendedAction,primaryBlocker,promptSnippet,evidenceSnippet
"identity:cmorxamtt00e98vvh8fgzy7tf","identity_conflict_review","review","1000","cmnwr8imx000lz0tiez2ik9eg","Pennsylvania State University","cmorxamtt00e98vvh8fgzy7tf","2026","critical","/admin/essay-prompts/cmorxamtt00e98vvh8fgzy7tf","","","","review-official-source-and-reassign-or-reject","conflict_reassign_candidate","How will you explore community at Penn? Consider how Penn will help shape your perspective, and how your experiences and perspective will help shape Penn.","how will you explore community at penn? consider how penn will help shape your perspective, and how your experiences and perspec..."
"identity:cmorxd2u300hl8vvhwcsu5kin","identity_conflict_review","review","1000","cmnwr8iua003xz0tio2zj4a4z","Saint Louis University","cmorxd2u300hl8vvhwcsu5kin","2026","critical","/admin/essay-prompts/cmorxd2u300hl8vvhwcsu5kin","","","","review-official-source-and-reassign-or-reject","conflict_reassign_candidate","WashU is a place that values a variety of perspectives. We believe those perspectives come from a variety of experiences and identities. Respond to one of the following prompts to help us understand “Who are you?”: Optio","washu is a place that values a variety of perspectives. we believe those perspectives come from..."
"identity:cmorxbh8t000peiz6g7e8t5x4","identity_conflict_review","review","1000","cmnwr8iup0042z0tieqofvyfn","Williams College","cmorxbh8t000peiz6g7e8t5x4","2026","critical","/admin/essay-prompts/cmorxbh8t000peiz6g7e8t5x4","","","","review-official-source-and-reassign-or-reject","conflict_reassign_candidate","William & Mary is a community that fosters deep human connection. We reflect on the lessons of history to meet the challenges of a rapidly changing world. We engage diverse perspectives and seek wisdom in bridging differ","william & mary is a community that fosters deep human connection. we reflect on the lessons of history t..."
"identity:cmor7vnzd000f1jbwr05a38yt","identity_conflict_review","review","1000","cmnwr8iup0042z0tieqofvyfn","Williams College","cmor7vnzd000f1jbwr05a38yt","2026","critical","/admin/essay-prompts/cmor7vnzd000f1jbwr05a38yt","","","","review-official-source-and-reassign-or-reject","conflict_reassign_candidate","William & Mary is a community that fosters deep human connection. We reflect on the lessons of history to meet the challenges of a rapidly changing world. We engage diverse perspectives and seek wisdom in bridging differ","william & mary is a community that fosters deep human connection. we reflect on the lessons of history t..."
"identity:cmorwzr2100138vvhfyzhl3ew","identity_conflict_review","review","1000","cmnwr8iup0042z0tieqofvyfn","Williams College","cmorwzr2100138vvhfyzhl3ew","2026","critical","/admin/essay-prompts/cmorwzr2100138vvhfyzhl3ew","","","","review-official-source-and-reassign-or-reject","conflict_reassign_candidate","William & Mary is a community that fosters deep human connection. We reflect on the lessons of history to meet the challenges of a rapidly changing world. We engage diverse perspectives and seek wisdom in bridging differ","william & mary is a community that fosters deep human connection. we reflect on the lessons of history t..."
"identity:cmorxkbpm00e7eiz6vm9zedky","identity_conflict_review","review","870","cmnwr8imx000lz0tiez2ik9eg","Pennsylvania State University","cmorxkbpm00e7eiz6vm9zedky","2026","critical","/admin/essay-prompts/cmorxkbpm00e7eiz6vm9zedky","","","","review-merge-school-rows-or-add-alias-before-source-approval","review_duplicate_school_identity_candidate","How do you see yourself improving society and the lives of others in the future, and what do you hope to get at Penn State as a Schreyer Scholar to help you accomplish your goals?","...f improving society and the lives of others in the future, and what do you hope to get at penn state as a schreyer scholar to help you accomplish your goals?"
"mismatch:cmorw4egu000p44lk4y7rw3tp","source_family_mismatch_review","review","760","cmn1htkmy0000vqf2src2zcb5","Princeton University","cmorw4egu000p44lk4y7rw3tp","","critical","/admin/essay-prompts/cmorw4egu000p44lk4y7rw3tp","https://admission.princeton.edu/apply/princeton-specific-questions","official-context-no-match","","review-prompt-owner-and-reject-reassign-or-terminalize","review_prompt_owner_or_reject","Answer three short-answer questions, each in 50 words. (Exact questions not provided in the source)","What is a new skill you would like to learn in college?"
"mismatch:cmor7v70t00031jbw9811hnq5","source_family_mismatch_review","review","760","cmn1htkmy0000vqf2src2zcb5","Princeton University","cmor7v70t00031jbw9811hnq5","","critical","/admin/essay-prompts/cmor7v70t00031jbw9811hnq5","https://admission.princeton.edu/apply/princeton-specific-questions","official-context-no-match","","review-prompt-owner-and-reject-reassign-or-terminalize","review_prompt_owner_or_reject","Please respond to the following short-answer questions (50 words max each): 1. What is your favorite word and why? 2. What are you excited to explore, learn, or investigate during ","What is a new skill you would like to learn in college?"
"mismatch:cmorwfwid000bnoojdxzju2z6","source_family_mismatch_review","review","760","cmn1htkmy0000vqf2src2zcb5","Princeton University","cmorwfwid000bnoojdxzju2z6","","critical","/admin/essay-prompts/cmorwfwid000bnoojdxzju2z6","https://admission.princeton.edu/apply/princeton-specific-questions","official-context-no-match","","review-prompt-owner-and-reject-reassign-or-terminalize","review_prompt_owner_or_reject","Respond to three short-answer questions, each with a 50-word limit.","What is a new skill you would like to learn in college?"
"mismatch:cmorwfwi70009nooj5ud6qlni","source_family_mismatch_review","review","760","cmn1htkmy0000vqf2src2zcb5","Princeton University","cmorwfwi70009nooj5ud6qlni","","critical","/admin/essay-prompts/cmorwfwi70009nooj5ud6qlni","https://admission.princeton.edu/apply/princeton-specific-questions","official-context-no-match","","review-prompt-owner-and-reject-reassign-or-terminalize","review_prompt_owner_or_reject","Please briefly elaborate on one of your extracurricular activities or work experiences that was particularly meaningful to you.","What is a new skill you would like to learn in college?"
