schoolId,schoolName,usNewsRank,applicationYear,promptCount,criticalPromptCount,recommendedAction,reviewDisposition,topCandidateType,topCandidateUrl,promptIds
cmn1htkny000fvqf2jlmz8ej1,"University of California, Los Angeles",15,2026,10,10,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.ucla.edu/admissions,cmorxevfb005peiz6vw812hr3|cmorxevff005xeiz619nzd64j|cmorxevfe005veiz623wi969x|cmorxevfd005teiz6yws5jskd|cmorxevfc005reiz6b9gfxlpz|cmorxevfa005neiz6l4f1vqqr|cmorxevf8005leiz6t6j36epi|cmorxevf7005jeiz68zmgcfos|cmorxevf5005heiz6e1zgvjxo|cmorx4ad7006b8vvhh5cym2yn
cmn1htkmy0000vqf2src2zcb5,Princeton University,1,2026,8,8,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.princeton.edu/admissions,cmorw4egu000p44lk4y7rw3tp|cmor7v70t00031jbw9811hnq5|cmorxbc08000heiz6y9sgnv3w|cmorxbc0c000jeiz6i121bbpt|cmorxbc0e000leiz62ayerpo2|cmorwfwid000bnoojdxzju2z6|cmorwfwi70009nooj5ud6qlni|cmorvrqbx0003razugc26yj00
cmn1htkoj000ovqf226pta7or,Emory University,24,2026,8,8,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.emory.edu/admissions,cmorwl1vu007bnoojbsd50odf|cmorx5zyh008z8vvhn7qjnoot|cmorwl1vx007fnooj3joc3vf5|cmorwl1vw007dnoojk85153mg|cmorx5zyd008x8vvhqkrcooyt|cmorx5zyl00918vvho4x133y5|cmorx5zyn00938vvhmuj473kk|cmorx5zyp00958vvhatrhp4ar
cmnwr8iup0042z0tieqofvyfn,Williams College,1,2026,7,7,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.williams.edu/admissions,cmor7vnzp000h1jbwlx60s0yg|cmorwzr2500178vvh5gb8s5rb|cmorwzr2400158vvh3d9vmxql|cmor7vnzd000f1jbwr05a38yt|cmorwzr2100138vvhfyzhl3ew|cmorxbh8t000peiz6g7e8t5x4|cmorxbh8y000reiz6rfqrg8ut
cmn1htkq9001avqf25ziy94gn,Lehigh University,47,2026,7,7,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www1.lehigh.edu/admissions,cmorwbipe00bd44lkqmgoelwz|cmorwmtul00apnoojb68xqw3c|cmorxig3800bfeiz6p1n4muma|cmorw208b00aprazu54zw3aeh|cmorw208a00anrazutfw9l0x0|cmorw208400alrazuhcf01zst|cmorwbiph00bh44lkczpe70u9
cmnwr8imx000lz0tiez2ik9eg,Pennsylvania State University,61,2026,7,7,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.psu.edu/admissions,cmorxkbpl00e5eiz6hmyklai2|cmorxkbpm00e7eiz6vm9zedky|cmorxamtt00e98vvh8fgzy7tf|cmorxkbp600dteiz64omewnew|cmorxkbpd00dzeiz6mal12guf|cmorxkbpi00e3eiz6qwoa098m|cmorwoig500dhnoojojykszwt
cmnwr8im90007z0ti2n04hf3n,University of Pittsburgh,60,2026,6,6,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.pitt.edu/admissions,cmorwoaxy00cvnoojo9hiocc8|cmorwd4au00dp44lkpjx1sj7d|cmorwoaxs00ctnoojxepmad52|cmorwoay000cxnoojxmweyx7w|cmor89qos00cf1jbwr034vd7q|cmorxakrl00e38vvhuwdl0mp0
cmn1htkn80003vqf29zl0f9lr,Stanford University,3,2026,5,5,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.stanford.edu/admissions,cmorxc6ry001xeiz6q1f1m4oz|cmorxc6rr001veiz6zwwvdehq|cmorxc6ri001teiz6cd33r31p|cmorxc6r7001reiz6dhc0kf7r|cmorxc6qx001peiz6obaxd0cg
cmnwr8iv20049z0ti4tahvum5,Carleton College,8,2026,5,5,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.carleton.edu/admissions,cmor7ztds003l1jbwr1020i1q|cmor7ztdz003r1jbwcbz65tp0|cmor7zte0003t1jbwt9jm53vd|cmor7ztdw003p1jbwz7o7c0i4|cmor7ztdn003j1jbwo2mg3i1v
cmn1htko7000jvqf22r0n55p2,University of Notre Dame,20,2026,5,5,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.nd.edu/admissions,cmorwk9rs005xnooj632h5yns|cmorw8oi7006n44lk6i9m143o|cmorxftt40075eiz6aa2fmrgm|cmorxftt70077eiz63vjfdw7m|cmorxftta0079eiz6z2vji8wj
