Vassar College	18.57	15	100.0	HIGH
University of North Carolina at Chapel Hill	15.34	22	99.0	HIGH
California Institute of Technology	2.57	7	99.0	SEVERE
Georgia Institute of Technology	14.07	33	97.8	SEVERE
University of Virginia	16.81	24	97.3	HIGH
Massachusetts Institute of Technology	4.55	2	97.0	SEVERE
Smith College	21.00	16	97.0	HIGH
Princeton University	4.42	1	96.0	SEVERE
Yale University	4.75	5	96.0	SEVERE
Stanford University	3.80	3	95.0	SEVERE
Harvard University	3.65	3	94.6	SEVERE
Northeastern University	5.22	53	94.5	SEVERE
University of Florida	24.20	28	94.0	HIGH
Columbia University	3.86	12	94.0	SEVERE
Duke University	5.71	7	94.0	SEVERE
University of California, Los Angeles	8.97	15	93.4	SEVERE
Dartmouth College	5.40	18	93.0	SEVERE
Brown University	5.39	9	93.0	SEVERE
University of Michigan, Ann Arbor	15.64	21	92.8	HIGH
Johns Hopkins University	6.44	9	92.4	SEVERE
Barnard College	8.84	12	92.2	SEVERE
Cornell University	8.41	12	91.0	SEVERE
University of Pennsylvania	5.38	6	90.0	SEVERE
University of Chicago	4.79	12	89.6	SEVERE
Vanderbilt University	5.86	18	89.0	SEVERE
Washington University in St. Louis	12.06	24	89.0	SEVERE
Carnegie Mellon University	11.66	24	85.2	SEVERE
University of California, Berkeley	11.04	15	85.0	SEVERE
Villanova University	26.98	67	82.0	MODERATE
Reed	27.20		81.0	MODERATE
University of California, San Diego	26.77	28	79.8	MODERATE
Pitzer	25.16		79.2	MODERATE
Macalester	28.50		79.2	MODERATE
Olin College of Engineering	21.66	3	79.0	HIGH
University of Southern California	9.81	28	78.1	HIGH
Boston University	11.11	43	78.0	HIGH
Tufts University	11.49	40	76.0	HIGH
Emory University	10.29	24	75.8	HIGH
Davidson College	12.62	15	75.2	HIGH
New York University	9.23	35	72.0	HIGH
Colgate University	11.95	18	70.9	HIGH
University of Colorado Boulder	18.47	97	67.0	MODERATE
University of Miami	17.61	67	62.4	MODERATE
