check	severity	school_id	school_name	field	observed	note
3b-FRACTIONAL_DRIFT	BLOCKING	cml87jsdh0003hv3f09cmtufa	Amherst College	oosAcceptanceRate	0.08	value <1 while acceptanceRate is normal pct; likely stored as fraction not percent
3b-FRACTIONAL_DRIFT	BLOCKING	cml87jsdl0005hv3fycylc2qe	Pomona College	oosAcceptanceRate	0.06	value <1 while acceptanceRate is normal pct; likely stored as fraction not percent
3b-FRACTIONAL_DRIFT	BLOCKING	cml87jsdf0002hv3f2ic4d0ok	Williams College	oosAcceptanceRate	0.09	value <1 while acceptanceRate is normal pct; likely stored as fraction not percent
3b-FRACTIONAL_DRIFT	BLOCKING	cml87jsdl0005hv3fycylc2qe	Pomona College	intlAcceptanceRate	0.04	value <1 while acceptanceRate is normal pct
3b-FRACTIONAL_DRIFT	BLOCKING	cml7z424k000krtuj6unknkwx	University of Michigan, Ann Arbor	intlAcceptanceRate	0.11	value <1 while acceptanceRate is normal pct
3b-FRACTIONAL_DRIFT	BLOCKING	cml87jsdf0002hv3f2ic4d0ok	Williams College	intlAcceptanceRate	0.04	value <1 while acceptanceRate is normal pct
3b-FRACTIONAL_DRIFT	BLOCKING	cml7z424f000drtujpvzvcqk1	University of Chicago	edAcceptanceRate	0.16	value <1 while acceptanceRate is normal pct
3b-FRACTIONAL_DRIFT	BLOCKING	cml7z424f000drtujpvzvcqk1	University of Chicago	eaAcceptanceRate	0.11	value <1 while acceptanceRate is normal pct
3b-FRACTIONAL_DRIFT	BLOCKING	cml7z424k000krtuj6unknkwx	University of Michigan, Ann Arbor	eaAcceptanceRate	0.18	value <1 while acceptanceRate is normal pct
4-GPA_PCT_CONVENTION	BLOCKING	cmks30a92000s9viin1yd9gku	Macalester	gpaDistribution	99.9	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cmks30arv000y9viieexusysq	Reed	gpaDistribution	100.0	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cmks30bjb00179viiwwflr6fp	Whitman	gpaDistribution	100.1	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cml87kths0006u4zsge4s2303	Seton Hall University	gpaDistribution	101	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
4-GPA_PCT_CONVENTION	BLOCKING	cmks30ev600269viis2ymp096	Augustana university	gpaDistribution	100.0	Bands stored as percentages (0-100) instead of fractions (0-1); engine expects 0-1
