recipientKey,profileKey,domain,gap,action,severity,route,disposition,closureState,requiredActor,allowedWritePath,prohibitedWritePath,schoolId,schoolName
df5585906015fd0358d5de0d,dcf4f4031d77be3f6b4c28cb,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
4a070e6ff84a1f2e291a113f,5e068c8dc7b4c890cd028525,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
933c8fbcf844473497664ebc,a080791fc5afd2fd65717791,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
b9080384f5e48931d9672942,dfbdb1bfb5ba2e55947ffacb,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
2ba9ae2789a823fff9e99e40,fa17461feb2a296bf410fd51,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
e523653fa42814ef3eadc5e2,3c9553d15ae84cd029f9a45e,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
548e347fbdaf43be08e93286,d34e7c86d1fe4b4e4f3dd8b5,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
4a9a5325fca32ac5aa4d26c1,41987896ad3e2c2b584d8822,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
a17521d2860dea1a7b772a50,4d80d091ce6c3c3bbfb73020,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
239876530e8400c075556f29,a371d99e7990b1712ac0d07f,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
8fc27fe02716e3c77f4c9217,9111330cde59a737a7fbe9d2,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
3315de3a8f38e51c6e718bd4,6596f538050d130001eb66fd,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
81693f3a9d0880c99db5d8eb,f8576ed8705f4e1a21c111d4,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
42911f743ee6aec754611f0a,8cbd0cb44e65485bb14e40b4,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
a3528862a20f112072f07dec,16ce403f5cdd5ce323d7d56a,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
e510af0c8def66fed7a41269,07b560c00ebbeae89757ba92,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
8a25c91ceddfae6e4160c58e,23f48cbbd8bb302d47877816,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
f0c8fe12bebd09636b7cd4a6,f3198e3d4b8dfbe1dc7ef401,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
448f80c986e8da56dc55d7ce,d8b66d7a77fb0898c274f016,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
3189c565a909046c4fd6a3e3,4d3c3bd653a94add62332ca7,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
969f0a6da6dcccc818b2d053,349b11a3f796ddd02fac5df4,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
886a1ffc2b7eafe348230a62,496c4289233f7686705eb9cc,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
e806e3691e6e2df024691a2b,792185c76419227985fe39c6,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
12e0eebeeec38d62e5a0d3d4,e68a34176110a03fb1b0e1a7,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
91a70d5fa0ff8d12a86e2a5a,cc19790a20627dcf671b0696,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
8fc1697c15092a2b07926f70,9268bb2df1ae7eb423b40e68,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
0d909a631e8a38aba39711eb,a39a015fb33b59dab1e79583,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
3312c3fbbc5f925503c23541,70a9eda088b1d81c8c2c6710,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
951efa9a78747fd1f702a582,e7f17db1b3d37787f764e825,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
9ce8b002b8c6978d1d50ca34,296c586ab4f761371e0cbf88,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
a5ce79e3ee65a9b900b1d3ec,6ad354ae95ed116979f53605,profile,profile.gpa_anchor,prompt-user,critical,/profile?tab=gpa,user_prompt,actionable,user,user-owned profile/school-list/essay/resume/recommendation UI or approved import,"no inferred first-party facts, no raw-user-ID default exports, no live notification send",,
