field,surfaceId,severity,closureState,disposition,recommendedAction,implementationTargets
"gpaDistribution","api_school_detail","critical","review","review_add_consumer_reference","add-field-reference-or-mark-surface-terminal","apps/api/src/modules/school"
"transferAcceptanceRate","prediction_engine","critical","review","review_add_consumer_reference","add-field-reference-or-mark-surface-terminal","apps/api/src/modules/prediction|packages/shared/src/scoring"
"act25","web_prediction_results","critical","review","review_add_consumer_reference","add-field-reference-or-mark-surface-terminal","apps/web/src/components/features/prediction"
"act75","web_prediction_results","critical","review","review_add_consumer_reference","add-field-reference-or-mark-surface-terminal","apps/web/src/components/features/prediction"
"intlAcceptanceRate","web_prediction_results","critical","review","review_add_provenance_visibility","add-source-provenance-support-labels","apps/web/src/components/features/prediction/RateBreakdownPanel.tsx"
"needBlindInternational","web_prediction_results","critical","review","review_add_provenance_visibility","add-source-provenance-support-labels","apps/web/src/components/features/prediction/RateBreakdownPanel.tsx"
"sat25","web_prediction_results","critical","review","review_add_provenance_visibility","add-source-provenance-support-labels","apps/web/src/components/features/prediction/RateBreakdownPanel.tsx"
"sat75","web_prediction_results","critical","review","review_add_provenance_visibility","add-source-provenance-support-labels","apps/web/src/components/features/prediction/RateBreakdownPanel.tsx"
"testingPolicy","web_prediction_results","critical","review","review_add_consumer_reference","add-field-reference-or-mark-surface-terminal","apps/web/src/components/features/prediction"
"campusCover","agent_chat_context","warning","review","review_add_consumer_reference","add-field-reference-or-mark-surface-terminal","apps/api/src/modules/ai|apps/web/src/app/[locale]/(main)/chat"
"programRates","agent_chat_context","warning","review","review_add_consumer_reference","add-field-reference-or-mark-surface-terminal","apps/api/src/modules/ai|apps/web/src/app/[locale]/(main)/chat"
"programRates","api_school_detail","warning","review","review_add_consumer_reference","add-field-reference-or-mark-surface-terminal","apps/api/src/modules/school"
"campusCover","web_school_pages","warning","review","review_add_provenance_visibility","add-source-provenance-support-labels","apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-hero-header.tsx|apps/web/src/app/[locale]/(main)/schools/_components/SchoolCard.tsx"
"acceptanceRate","agent_chat_context","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/ai/BRIEF.md|apps/api/src/modules/ai/profile-ai.prompts.ts|apps/api/src/modules/ai/profile-ai.service.ts|apps/api/src/modules/ai-agent/core/orchestrator.service.ts|apps/api/src/modules/ai-agent/core/workflow-engine.service.ts|apps/api/src/modules/ai-agent/tools/case-tools.service.ts|apps/api/src/modules/ai-agent/tools/helpers/school-lookup.helper.ts|apps/api/src/modules/ai-agent/tools/prediction-tools.service.spec.ts|apps/api/src/modules/ai-agent/tools/prediction-tools.service.ts|apps/api/src/modules/ai-agent/tools/recommendation-tools.service.spec.ts|apps/api/src/modules/ai-agent/tools/school-tools.service.spec.ts|apps/api/src/modules/ai-agent/tools/school-tools.service.ts"
"deadlines","agent_chat_context","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/ai-agent/config/agents.config.ts|apps/api/src/modules/ai-agent/core/fallback.service.ts|apps/api/src/modules/ai-agent/core/memory.service.ts|apps/api/src/modules/ai-agent/core/workflow-engine.service.ts|apps/api/src/modules/ai-agent/services/web-search.service.spec.ts|apps/api/src/modules/ai-agent/tools/school-tools.service.ts|apps/api/src/modules/ai-agent/tools/timeline-tools.service.ts|apps/web/src/components/features/agent-chat/agent-workspace.test.tsx|apps/web/src/components/features/agent-chat/tool-call-card.test.tsx"
"essayPrompts","agent_chat_context","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/ai-agent/tools/essay-tools.service.spec.ts|apps/api/src/modules/ai-agent/tools/essay-tools.service.ts|apps/api/src/modules/ai-agent/tools/school-tools.service.spec.ts|apps/api/src/modules/ai-agent/tools/school-tools.service.ts"
"testingPolicy","agent_chat_context","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/ai/ai.types.ts|apps/api/src/modules/ai-agent/tools/school-tools.service.spec.ts|apps/api/src/modules/ai-agent/tools/school-tools.service.ts"
