schoolId,schoolName,assetId,gap,action,severity,disposition,closureState,nextAction,consumerPolicy,route
cmnwr8iqt002bz0ti5efot7m8,Adelphi University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iqt002bz0ti5efot7m8/media
cmnwr8ity003tz0tie2nazej1,American University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ity003tz0tie2nazej1/media
cmnwr8iur0043z0tie8ndrb65,Amherst College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iur0043z0tie8ndrb65/media
cmnwr8iwn0053z0tiokrlwt8f,Appalachian State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iwn0053z0tiokrlwt8f/media
cmnwr8inx0015z0tix5dndhpi,Arizona State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8inx0015z0tix5dndhpi/media
cmnwr8ivx004qz0ti7xo8qk4m,ArtCenter College of Design,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ivx004qz0ti7xo8qk4m/media
cmnwr8ini000wz0ti57rv9m9o,Auburn University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ini000wz0ti57rv9m9o/media
cmnwr8ir4002hz0tibdz0myoo,Ball State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ir4002hz0tibdz0myoo/media
cmnwr8ivm004lz0tio6m2uic4,Barnard College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ivm004lz0tio6m2uic4/media
cmnwr8ivl004kz0tiv0vgf6c6,Bates College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ivl004kz0tiv0vgf6c6/media
cmnwr8itw003sz0ti2fueoy2e,Baylor University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8itw003sz0ti2fueoy2e/media
cmnwr8iw7004vz0ti65mqjgq5,Berklee College of Music,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iw7004vz0ti65mqjgq5/media
cmnwr8in2000nz0tikk636e8p,Binghamton University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8in2000nz0tikk636e8p/media
cmn1htkpl0012vqf28whnvaoj,Boston College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkpl0012vqf28whnvaoj/media
cmn1htkpw0016vqf20t0lflxm,Boston University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkpw0016vqf20t0lflxm/media
cmnwr8iuy0047z0tijtdlowua,Bowdoin College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iuy0047z0tijtdlowua/media
cmnwr8irv002uz0tic1bpn6g4,Bowling Green State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8irv002uz0tic1bpn6g4/media
