id,status,notes
cmkzbpis800in14grseq2hkhl,警告,"专业名格式错误"
cmkzbpitp00k814grprf93pp7,通过,""
cmkzbpijp00b714grb51tk2km,警告,"专业名格式错误"
cmkzbpibn004k14grfz8gap1t,警告,"专业名格式错误"
cmkzbpia1003514grulmz82dz,警告,"专业名格式错误"
case5,通过,""
cmkzasifi000qtzlsrzoiszui,通过,""
cmkzasifg000otzlssh20q4dp,通过,""
cmkzbbro80002mccwnc6zepmj,通过,""
cmkzbbroe0008mccwh4lxg70m,通过,""
cmkzbbrob0004mccw7oul0eqr,通过,""
cmkz5ueqh000im2sp9buxzuhu,通过,""
cmkzbbrof000amccw4uvr4bno,通过,""
cmkz5ueqi000km2sp8zo4mbw8,通过,""
cmkz5ueqf000gm2spw5kqt1sr,通过,""
cmkzbbroc0006mccw99esa0kg,通过,""
cmkzbpibx004s14grbuyw9tmc,警告,"专业名格式错误"
cmkzbpii3009j14gr91cqntyy,通过,""
cmkzbpibj004g14grbd7ueifb,警告,"专业名格式错误"
cmkzbpihf009614gr9b2sws7n,警告,"专业名格式错误"
cmkzbpief007814gri0mvp3mh,通过,""
cmkzbpijk00b114grus0i4ohk,警告,"专业名格式错误"
cmkzbpiw300mj14grt614p4yp,通过,""
cmkzbpi90002a14gr837l3yot,警告,"专业名格式错误; 关键数据缺失"
case1,通过,""
cmkzbbroj000imccw3icr6ax4,通过,""
cmkzbbroi000gmccwy3l5ry1h,通过,""
cmkzaoovr0006flkkakhnof98,通过,""
cmkzasif9000gtzlsz66z7l65,通过,""
cmkzasif7000etzlseknlbw1f,通过,""
cmkzaoovl0002flkk1ybduyvf,通过,""
cmkzasifa000itzlsec9eqtbx,通过,""
cmkzaoovp0004flkk94un94fx,通过,""
cmkzaoovt0008flkkmhthpqc6,通过,""
cmkzbbrok000kmccw686pa4zl,通过,""
cmkzbbroi000emccwwmhj9ynt,通过,""
cmkzbbroh000cmccwdjsj4aay,通过,""
cmkzbpiwm00n614grslx2c4dg,警告,"专业名格式错误; Top20低SAT录取: 1070; Top10低SAT录取"
cmkzbpiw100mh14gr21tyxslk,通过,""
cmkzbpi72000v14grisehs874,警告,"专业名格式错误; ACT异常低: 14"
cmkz2sxmc0018dx9bb6xq2vn9,通过,""
cmkzbpiw500ml14grthffxunz,通过,""
cmkzbpivc00lt14grpkz2z17s,通过,""
cmkzbpiut00lb14gr0icevjzc,警告,"专业名格式错误"
cmkzbpiur00l914gr24u1akk7,警告,"专业名格式错误"
cmkzbpium00l314grn31e9k9n,警告,"专业名格式错误"
cmkz2sxo1002ndx9bhisisqbi,通过,""
cmkzbpiwy00nh14grmxnqxequ,警告,"专业名格式错误"
cmkzbpi68000o14gry7x1ae50,通过,""
cmkzbpi6c000q14grkgvvvokf,警告,"关键数据缺失"
cmkzbpis000id14grbsn632ut,警告,"专业名格式错误"
cmkzbpirl00i314grgoaa9ccd,警告,"专业名格式错误"
cmkzbpirj00i114grr1hxqyeq,警告,"Top10极低GPA录取; 关键数据缺失"
cmkzbpin300dz14gr5642uj5t,通过,""
cmkzbpimu00dv14grwz661rxd,通过,""
cmkzbpi5o000f14grclh3sbgu,通过,""
cmkzbpilp00d214grvaeapfge,警告,"专业名格式错误"
cmkzbpi9v002z14gr0g5mouin,警告,"专业名格式错误"
cmkzbpiam003o14grrgpua5b6,警告,"Top10低SAT录取"
cmkzbpib8004714grjn4gs4uh,警告,"专业名格式错误"
cmkzbpibi004e14grc4ofj8g9,警告,"专业名格式错误"
cmkzbpibp004m14gr3m30qrth,警告,"专业名格式错误"
cmkzbpid0005y14groprt7dpe,警告,"专业名无效"
cmkzbpidm006m14grwypjlik2,警告,"专业名无效"
cmkzbpidv006u14grx9vikfpr,警告,"专业名无效"
cmkzbpif6007g14grnbji0p27,警告,"专业名格式错误"
cmkzbpie8007014grn4lfs1jh,通过,""
cmkzbpil900cm14grxxqopew0,警告,"专业名格式错误"
cmkzbpiel007e14gruaxec3uo,通过,""
