platform,type,path,route_or_component,status,candidate_count,confirmed_issue_candidates,notes
web,shell,apps/web/src/app/[locale]/(auth)/error.tsx,[locale]/(auth)/error.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(auth)/forgot-password/page.tsx,/:locale/forgot-password,已检查,1,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(auth)/layout.tsx,[locale]/(auth)/layout.tsx,已检查,1,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(auth)/loading.tsx,[locale]/(auth)/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(auth)/login/page.tsx,/:locale/login,已检查,1,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(auth)/register/invite/page.tsx,/:locale/register/invite,已检查,1,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(auth)/register/page.tsx,/:locale/register,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(auth)/reset-password/page.tsx,/:locale/reset-password,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(auth)/verify-email/callback/page.tsx,/:locale/verify-email/callback,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(auth)/verify-email/page.tsx,/:locale/verify-email,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/about/error.tsx,[locale]/(main)/about/error.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/about/loading.tsx,[locale]/(main)/about/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/about/page.tsx,/:locale/about,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/activity-templates/loading.tsx,[locale]/(main)/admin/activity-templates/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/activity-templates/page.tsx,/:locale/admin/activity-templates,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/ai-agent/loading.tsx,[locale]/(main)/admin/ai-agent/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/ai-operations/loading.tsx,[locale]/(main)/admin/ai-operations/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/ai-operations/page.tsx,/:locale/admin/ai-operations,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/application-analysis-workflow/loading.tsx,[locale]/(main)/admin/application-analysis-workflow/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/application-analysis-workflow/page.tsx,/:locale/admin/application-analysis-workflow,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/audit-logs/loading.tsx,[locale]/(main)/admin/audit-logs/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/audit-logs/page.tsx,/:locale/admin/audit-logs,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/calendar/loading.tsx,[locale]/(main)/admin/calendar/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/calendar/page.tsx,/:locale/admin/calendar,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/calibrations/loading.tsx,[locale]/(main)/admin/calibrations/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/calibrations/page.tsx,/:locale/admin/calibrations,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/data-quality/page.tsx,/:locale/admin/data-quality,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/data-review/loading.tsx,[locale]/(main)/admin/data-review/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/data-review/page.tsx,/:locale/admin/data-review,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/error.tsx,[locale]/(main)/admin/error.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/essays/loading.tsx,[locale]/(main)/admin/essays/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/essays/page.tsx,/:locale/admin/essays,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/feature-flags/loading.tsx,[locale]/(main)/admin/feature-flags/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/feature-flags/page.tsx,/:locale/admin/feature-flags,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/high-schools/loading.tsx,[locale]/(main)/admin/high-schools/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/high-schools/page.tsx,/:locale/admin/high-schools,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/layout.tsx,[locale]/(main)/admin/layout.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/loading.tsx,[locale]/(main)/admin/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/memory/loading.tsx,[locale]/(main)/admin/memory/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/memory/page.tsx,/:locale/admin/memory,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/moderation/loading.tsx,[locale]/(main)/admin/moderation/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/moderation/page.tsx,/:locale/admin/moderation,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/page.tsx,/:locale/admin,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/payments/loading.tsx,[locale]/(main)/admin/payments/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/payments/page.tsx,/:locale/admin/payments,有问题,5,5,see findings.csv and text-candidate-disposition.csv
web,shell,apps/web/src/app/[locale]/(main)/admin/points/loading.tsx,[locale]/(main)/admin/points/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/points/page.tsx,/:locale/admin/points,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/prediction-health/loading.tsx,[locale]/(main)/admin/prediction-health/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/prediction-health/page.tsx,/:locale/admin/prediction-health,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/schools/loading.tsx,[locale]/(main)/admin/schools/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/schools/page.tsx,/:locale/admin/schools,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/settings/loading.tsx,[locale]/(main)/admin/settings/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/settings/page.tsx,/:locale/admin/settings,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/team/loading.tsx,[locale]/(main)/admin/team/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/team/page.tsx,/:locale/admin/team,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/users/[id]/loading.tsx,[locale]/(main)/admin/users/[id]/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,route,apps/web/src/app/[locale]/(main)/admin/users/[id]/page.tsx,/:locale/admin/users/:id,已检查,0,0,source text candidates reviewed or no visible text candidates found
web,shell,apps/web/src/app/[locale]/(main)/admin/users/loading.tsx,[locale]/(main)/admin/users/loading.tsx,已检查,0,0,source text candidates reviewed or no visible text candidates found
